ticker,company_name,yahoo_symbol,active
BBMD,PT Bank Mestika Dharma Tbk,BBMD.JK,1
BBNI,PT Bank Negara Indonesia (Persero) Tbk,BBNI.JK,1
BBRI,PT Bank Rakyat Indonesia (Persero) Tbk,BBRI.JK,1
BBRM,PT Pelayaran Nasional Bina Buana Raya Tbk,BBRM.JK,1
BBSI,PT Krom Bank Indonesia Tbk,BBSI.JK,1
BBSS,PT Bumi Benowo Sukses Sejahtera Tbk,BBSS.JK,1
BBTN,PT Bank Tabungan Negara (Persero) Tbk,BBTN.JK,1
BBYB,PT Bank Neo Commerce Tbk,BBYB.JK,1
BCAP,PT MNC Kapital Indonesia Tbk,BCAP.JK,1
BCIC,PT Bank JTrust Indonesia Tbk,BCIC.JK,1
BCIP,PT Bumi Citra Permai Tbk,BCIP.JK,1
BDKR,PT Berdikari Pondasi Perkasa Tbk,BDKR.JK,1
BDMN,PT Bank Danamon Indonesia Tbk,BDMN.JK,1
BEBS,PT Berkah Beton Sadaya Tbk,BEBS.JK,1
BEEF,PT Estika Tata Tiara Tbk,BEEF.JK,1
BEER,PT Jobubu Jarum Minahasa Tbk,BEER.JK,1
BEKS,"PT. Bank Pembangunan Daerah Banten, Tbk",BEKS.JK,1
BELI,PT Global Digital Niaga Tbk,BELI.JK,1
BELL,PT Trisula Textile Industries Tbk,BELL.JK,1
BESS,PT Batulicin Nusantara Maritim Tbk,BESS.JK,1
BEST,PT Bekasi Fajar Industrial Estate Tbk,BEST.JK,1
BFIN,PT BFI Finance Indonesia Tbk,BFIN.JK,1
BGTG,PT Bank Ganesha Tbk,BGTG.JK,1
BHAT,PT Bhakti Multi Artha Tbk,BHAT.JK,1
BHIT,PT MNC Asia Holding Tbk,BHIT.JK,1
BIKE,PT Sepeda Bersama Indonesia Tbk,BIKE.JK,1
BIMA,"PT. Primarindo Asia Infrastructure, Tbk.",BIMA.JK,1
BINA,PT Bank Ina Perdana Tbk,BINA.JK,1
BINO,PT Perma Plasindo Tbk,BINO.JK,1
BIPI,PT Astrindo Nusantara Infrastruktur Tbk,BIPI.JK,1
BIPP,PT Bhuwanatala Indah Permai Tbk,BIPP.JK,1
BIRD,PT Blue Bird Tbk,BIRD.JK,1
BISI,PT BISI International Tbk,BISI.JK,1
BJBR,PT Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,BJBR.JK,1
BJTM,PT Bank Pembangunan Daerah Jawa Timur Tbk,BJTM.JK,1
BKDP,PT Bukit Darmo Property Tbk,BKDP.JK,1
BKSL,PT Sentul City Tbk,BKSL.JK,1
BKSW,PT Bank QNB Indonesia Tbk,BKSW.JK,1
BLES,PT Superior Prima Sukses Tbk,BLES.JK,1
BLOG,PT Trimitra Trans Persada Tbk,BLOG.JK,1
BLTA,PT Berlian Laju Tanker Tbk,BLTA.JK,1
BLTZ,PT Graha Layar Prima Tbk,BLTZ.JK,1
BLUE,PT Berkah Prima Perkasa Tbk,BLUE.JK,1
BMAS,PT Bank Maspion Indonesia Tbk,BMAS.JK,1
BMBL,PT Lavender Bina Cendikia Tbk,BMBL.JK,1
BMHS,PT Bundamedik Tbk,BMHS.JK,1
BMRI,PT Bank Mandiri (Persero) Tbk,BMRI.JK,1
BMSR,PT Bintang Mitra Semestaraya Tbk,BMSR.JK,1
BMTR,PT Global Mediacom Tbk,BMTR.JK,1
BNBA,PT Bank Bumi Arta Tbk,BNBA.JK,1
BNBR,PT Bakrie & Brothers Tbk,BNBR.JK,1
BNGA,PT Bank CIMB Niaga Tbk,BNGA.JK,1
BNII,PT Bank Maybank Indonesia Tbk,BNII.JK,1
BNLI,PT Bank Permata Tbk,BNLI.JK,1
BOAT,PT Newport Marine Services TBK,BOAT.JK,1
BOBA,PT Formosa Ingredient Factory Tbk,BOBA.JK,1
BOGA,PT Apollo Global Interactive Tbk,BOGA.JK,1
BOLA,PT Bali Bintang Sejahtera Tbk,BOLA.JK,1
BOLT,PT Garuda Metalindo Tbk,BOLT.JK,1
